Country,Demonym,Sentiment,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,Happy,Angry,Surprise,Sad,Fear,F_Score,,,,,,,,,,
Japan,Japanese,0.515006,0.030292651,6.33E-06,0.002931382,0.002841481,0.017630738,0.000407461,0.000120425,0.1671,0.0526,0.1283,0.2427,0.4145,0.985783585,,,,,,,,,,
Jordan,Jordanian,-0.211486,0.016612172,3.83E-05,0.000131135,0.006150562,0.002072308,0.003538172,8.86E-05,0.1013,0.0537,0.1514,0.2691,0.4436,0.977238203,,,,,,,,,,
Kazakhstan,Kazakhstani,0.190307,0.01336747,2.73E-05,0.0001577,0.003750662,0.006366242,0.000150568,0.000106274,0.1163,0.0522,0.1336,0.2433,0.4424,0.989650703,,,,,,,,,,
Kenya,Kenyan,-0.209938,0.034949836,2.62E-05,0.000212159,0.017566861,0.017913282,0.000354071,0.002144662,0.0909,0.048,0.1348,0.2743,0.4063,0.993404953,,,,,,,,,,
Kiribati,I-Kiribati,0.238765,0.015511056,2.36E-05,0.000202155,0.004615304,0.005619664,0.000250134,0.000182276,0.1151,0.0471,0.1496,0.2589,0.3611,0.994205958,,,,,,,,,,
Kuwait,Kuwaiti,-0.119764,0.008982081,3.22E-05,0.000779278,0.003572429,0.001306847,0.000426806,5.82E-05,0.1341,0.0557,0.1224,0.2704,0.4047,0.986844209,,,,,,,,,,
Kygryzstan,Kyrgyz or Kirghiz,0.027009,0.011408953,6.36E-05,0.000329411,0.002671321,0.003505168,0.000308379,0.000772863,0.123,0.0573,0.1671,0.2487,0.4331,0.996134741,,,,,,,,,,
Laos,Lao or Laotian,0.543567,0.006991945,9.07E-06,0.0001336,0.001938547,0.002510765,0.000120989,0.000101999,0.1328,0.0449,0.1675,0.1918,0.4085,0.981870091,,,,,,,,,,
Latvia,Latvian,0.132024,0.010738963,1.15E-05,0.000162052,0.001135878,0.004198922,0.000119561,0.001364807,0.137,0.0624,0.1337,0.2595,0.4372,0.982291763,,,,,,,,,,
Lebanon,Lebanese,-0.235012,0.01254435,3.77E-05,0.000162289,0.005311497,0.001973995,0.000495532,0.000130508,0.0973,0.0553,0.1392,0.2706,0.4342,0.985854373,,,,,,,,,,
Lesotho,Mosotho (singular) and BasothoÂ (plural),0.564305,0.00892374,3.77E-05,0.000269941,0.003822976,0.002507821,0.000201711,0.000130481,0.103,0.0686,0.2666,0.1771,0.4084,0.974706577,,,,,,,,,,
Liberia,Liberian,0.078531,0.015625363,2.23E-05,0.000195625,0.004492222,0.003539613,0.000639482,0.000628248,0.1139,0.0635,0.1359,0.2422,0.4124,0.967908682,,,,,,,,,,
Libya,Libyan,-0.39807,0.024145235,1.25E-05,0.002228285,0.003203532,0.007877747,0.000577619,0.000141696,0.1078,0.0671,0.1361,0.2773,0.4444,0.986577179,,,,,,,,,,
Liechtenstein,Liechtensteiner,0.287862,0.033645703,8.49E-05,0.000539647,0.00670562,0.015056814,0.001312394,0.000127932,0.1213,0.0551,0.1214,0.2575,0.3858,0.969387527,,,,,,,,,,
Lithuania,Lithuanian,0.531049,0.017690347,1.90E-05,0.000319218,0.001218124,0.013300271,9.12E-05,0.000152232,0.1744,0.05,0.1304,0.2594,0.4658,0.97745049,,,,,,,,,,
